,name,categories,type,unit,database,"wind turbine construction,
2MW, onshore | wind turbine,
2MW, onshore | GLO |
ecoinvent3.8 cut-off"
471,Sulfuric acid,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0012882830285930798
472,"Talc, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,8.004938205534817
473,tau-Fluvalinate,"('soil', 'agricultural')",emission,kilogram,biosphere3,7.243043304331505e-31
474,t-Butyl methyl ether,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0062284484096220725
475,t-Butylamine,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.6859067138753506e-06
476,TCMTB,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.001375258546462886
477,Tebuconazole,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.2761183010686912e-05
478,Tebupirimphos,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.9918766994067703e-07
479,Tebutam,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.8888022318536293e-05
480,Teflubenzuron,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0010680121997983776
481,Tefluthrin,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.3551332124775383e-07
482,Terbufos,"('soil', 'agricultural')",emission,kilogram,biosphere3,8.013302037485791e-07
483,Terbuthylazin,"('soil', 'agricultural')",emission,kilogram,biosphere3,4.0682746121482456e-05
484,Tetramethyl ammonium hydroxide,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,4.484686871361717e-07
485,Thallium,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0008991531302631368
486,Thiamethoxam,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.005100973337401777
487,Thifensulfuron-methyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,9.694748259131392e-09
488,Thiobencarb,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.644855148678488e-06
489,Thiram,"('soil', 'agricultural')",emission,kilogram,biosphere3,7.5240527825104455e-06
490,Thorium,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0010723816139924277
491,Thorium-228,"('air', 'urban air close to ground')",emission,kilo Becquerel,biosphere3,3.5099391817017067
492,Thorium-232,"('air', 'urban air close to ground')",emission,kilo Becquerel,biosphere3,2.596905244300859
493,Tin,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0006094917184573022
494,"Tin, ion","('water', 'ground-')",emission,kilogram,biosphere3,0.02003532660107415
495,Titanium,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.23410421643478585
496,"Titanium, ion","('water', 'ground-')",emission,kilogram,biosphere3,0.04472002083394348
497,"TOC, Total Organic Carbon","('water', 'ground-')",emission,kilogram,biosphere3,4.181149716397523
498,Toluene,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.0206928195199991
499,"Toluene, 2-chloro","('air', 'urban air close to ground')",emission,kilogram,biosphere3,4.477846962205886e-05
500,Tralkoxydim,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.1350364087327709e-09
501,"Transformation, from annual crop","('natural resource', 'land')",natural resource,square meter,biosphere3,29.740531434369665
502,"Transformation, from annual crop, irrigated","('natural resource', 'land')",natural resource,square meter,biosphere3,6.5290838613178055
503,"Transformation, from annual crop, irrigated, intensive","('natural resource', 'land')",natural resource,square meter,biosphere3,0.005875625246570193
504,"Transformation, from annual crop, non-irrigated","('natural resource', 'land')",natural resource,square meter,biosphere3,628.9385454356659
505,"Transformation, from annual crop, non-irrigated, extensive","('natural resource', 'land')",natural resource,square meter,biosphere3,0.4768565098535943
506,"Transformation, from annual crop, non-irrigated, intensive","('natural resource', 'land')",natural resource,square meter,biosphere3,2.8791021261339598
507,"Transformation, from arable land, unspecified use","('natural resource', 'land')",natural resource,square meter,biosphere3,25.451211459455813
508,"Transformation, from cropland fallow (non-use)","('natural resource', 'land')",natural resource,square meter,biosphere3,0.34911263799600817
509,"Transformation, from dump site, inert material landfill","('natural resource', 'land')",natural resource,square meter,biosphere3,72.08594746297526
510,"Transformation, from dump site, residual material landfill","('natural resource', 'land')",natural resource,square meter,biosphere3,15.82166599435672
511,"Transformation, from dump site, sanitary landfill","('natural resource', 'land')",natural resource,square meter,biosphere3,1.3362840967695597
512,"Transformation, from dump site, slag compartment","('natural resource', 'land')",natural resource,square meter,biosphere3,0.4941237011228426
513,"Transformation, from forest, extensive","('natural resource', 'land')",natural resource,square meter,biosphere3,38.17784936870707
514,"Transformation, from forest, intensive","('natural resource', 'land')",natural resource,square meter,biosphere3,333.6248269467138
515,"Transformation, from forest, primary (non-use)","('natural resource', 'land')",natural resource,square meter,biosphere3,10.060793348013542
516,"Transformation, from forest, secondary (non-use)","('natural resource', 'land')",natural resource,square meter,biosphere3,0.28695001918790836
517,"Transformation, from forest, unspecified","('natural resource', 'land')",natural resource,square meter,biosphere3,160.4139967396457
518,"Transformation, from grassland, natural (non-use)","('natural resource', 'land')",natural resource,square meter,biosphere3,3.851128741920557
519,"Transformation, from grassland, natural, for livestock grazing","('natural resource', 'land')",natural resource,square meter,biosphere3,1.8881469097217927
520,"Transformation, from heterogeneous, agricultural","('natural resource', 'land')",natural resource,square meter,biosphere3,0.02100010583573138
521,"Transformation, from industrial area","('natural resource', 'land')",natural resource,square meter,biosphere3,0.49869016336560573
522,"Transformation, from mineral extraction site","('natural resource', 'land')",natural resource,square meter,biosphere3,43.89322766270538
523,"Transformation, from pasture, man made","('natural resource', 'land')",natural resource,square meter,biosphere3,382.9347954420797
524,"Transformation, from pasture, man made, extensive","('natural resource', 'land')",natural resource,square meter,biosphere3,3.3990228457758345e-07
525,"Transformation, from pasture, man made, intensive","('natural resource', 'land')",natural resource,square meter,biosphere3,0.34176841070853076
526,"Transformation, from permanent crop","('natural resource', 'land')",natural resource,square meter,biosphere3,0.8490674019107494
527,"Transformation, from permanent crop, irrigated","('natural resource', 'land')",natural resource,square meter,biosphere3,0.13032455596631073
528,"Transformation, from permanent crop, irrigated, intensive","('natural resource', 'land')",natural resource,square meter,biosphere3,0.0033465653158836974
529,"Transformation, from permanent crop, non-irrigated","('natural resource', 'land')",natural resource,square meter,biosphere3,12.059788711717987
530,"Transformation, from river, natural (non-use)","('natural resource', 'land')",natural resource,square meter,biosphere3,12.124008852707247
531,"Transformation, from seabed, infrastructure","('natural resource', 'land')",natural resource,square meter,biosphere3,0.0008027008713613868
532,"Transformation, from seabed, unspecified","('natural resource', 'land')",natural resource,square meter,biosphere3,16.700534537489776
533,"Transformation, from shrub land, sclerophyllous","('natural resource', 'land')",natural resource,square meter,biosphere3,93.6833414342479
534,"Transformation, from traffic area, rail/road embankment","('natural resource', 'land')",natural resource,square meter,biosphere3,2.7445525715902166
535,"Transformation, from traffic area, road network","('natural resource', 'land')",natural resource,square meter,biosphere3,2.9775059970245686e-15
536,"Transformation, from unspecified","('natural resource', 'land')",natural resource,square meter,biosphere3,333.2815036348861
537,"Transformation, from unspecified, natural (non-use)","('natural resource', 'land')",natural resource,square meter,biosphere3,0.05782560502080813
538,"Transformation, from wetland, inland (non-use)","('natural resource', 'land')",natural resource,square meter,biosphere3,13.322757860651183
539,"Transformation, to annual crop","('natural resource', 'land')",natural resource,square meter,biosphere3,17.20441181033103
540,"Transformation, to annual crop, irrigated","('natural resource', 'land')",natural resource,square meter,biosphere3,6.5290838613178055
541,"Transformation, to annual crop, irrigated, intensive","('natural resource', 'land')",natural resource,square meter,biosphere3,0.05432194504475806
542,"Transformation, to annual crop, non-irrigated","('natural resource', 'land')",natural resource,square meter,biosphere3,628.5265087259598
543,"Transformation, to annual crop, non-irrigated, extensive","('natural resource', 'land')",natural resource,square meter,biosphere3,0.6689579269413701
544,"Transformation, to annual crop, non-irrigated, intensive","('natural resource', 'land')",natural resource,square meter,biosphere3,26.134196860402056
545,"Transformation, to arable land, unspecified use","('natural resource', 'land')",natural resource,square meter,biosphere3,39.93136801382919
546,"Transformation, to cropland fallow (non-use)","('natural resource', 'land')",natural resource,square meter,biosphere3,0.587073630353249
547,"Transformation, to dump site","('natural resource', 'land')",natural resource,square meter,biosphere3,63.869110996915126
548,"Transformation, to dump site, inert material landfill","('natural resource', 'land')",natural resource,square meter,biosphere3,72.08594746297526
549,"Transformation, to dump site, residual material landfill","('natural resource', 'land')",natural resource,square meter,biosphere3,15.821793781969056
550,"Transformation, to dump site, sanitary landfill","('natural resource', 'land')",natural resource,square meter,biosphere3,1.3362840967695597
551,"Transformation, to dump site, slag compartment","('natural resource', 'land')",natural resource,square meter,biosphere3,0.4941237011228426
552,"Transformation, to forest, extensive","('natural resource', 'land')",natural resource,square meter,biosphere3,6.258680101995924
553,"Transformation, to forest, intensive","('natural resource', 'land')",natural resource,square meter,biosphere3,363.96937913008975
554,"Transformation, to forest, secondary (non-use)","('natural resource', 'land')",natural resource,square meter,biosphere3,3.5079774438334454e-15
555,"Transformation, to forest, unspecified","('natural resource', 'land')",natural resource,square meter,biosphere3,120.29366753176095
556,"Transformation, to grassland, natural (non-use)","('natural resource', 'land')",natural resource,square meter,biosphere3,1.4937632790383892
557,"Transformation, to grassland, natural, for livestock grazing","('natural resource', 'land')",natural resource,square meter,biosphere3,2.7526746196437677e-07
558,"Transformation, to heterogeneous, agricultural","('natural resource', 'land')",natural resource,square meter,biosphere3,3.505253136023353
559,"Transformation, to industrial area","('natural resource', 'land')",natural resource,square meter,biosphere3,283.56442402609156
560,"Transformation, to inland waterbody, unspecified","('natural resource', 'land')",natural resource,square meter,biosphere3,0.0009890339253645468
561,"Transformation, to lake, artificial","('natural resource', 'land')",natural resource,square meter,biosphere3,38.45583061121085
562,"Transformation, to mineral extraction site","('natural resource', 'land')",natural resource,square meter,biosphere3,245.03485155538567
563,"Transformation, to pasture, man made","('natural resource', 'land')",natural resource,square meter,biosphere3,0.3027605388542428
564,"Transformation, to pasture, man made, extensive","('natural resource', 'land')",natural resource,square meter,biosphere3,3.3990228457758345e-07
565,"Transformation, to pasture, man made, intensive","('natural resource', 'land')",natural resource,square meter,biosphere3,0.002317359021878108
566,"Transformation, to permanent crop","('natural resource', 'land')",natural resource,square meter,biosphere3,8.196992396408753
567,"Transformation, to permanent crop, irrigated","('natural resource', 'land')",natural resource,square meter,biosphere3,0.13032455596631073
568,"Transformation, to permanent crop, irrigated, intensive","('natural resource', 'land')",natural resource,square meter,biosphere3,0.0033465653158836974
569,"Transformation, to permanent crop, non-irrigated","('natural resource', 'land')",natural resource,square meter,biosphere3,12.059788711717987
570,"Transformation, to river, artificial","('natural resource', 'land')",natural resource,square meter,biosphere3,11.103032862447396
571,"Transformation, to seabed, drilling and mining","('natural resource', 'land')",natural resource,square meter,biosphere3,16.69166450984504
572,"Transformation, to seabed, infrastructure","('natural resource', 'land')",natural resource,square meter,biosphere3,0.008870027664461355
573,"Transformation, to seabed, unspecified","('natural resource', 'land')",natural resource,square meter,biosphere3,0.0008027008713613868
574,"Transformation, to shrub land, sclerophyllous","('natural resource', 'land')",natural resource,square meter,biosphere3,89.73802125522094
575,"Transformation, to traffic area, rail network","('natural resource', 'land')",natural resource,square meter,biosphere3,0.9754276591880037
576,"Transformation, to traffic area, rail/road embankment","('natural resource', 'land')",natural resource,square meter,biosphere3,33.976464896766345
577,"Transformation, to traffic area, road network","('natural resource', 'land')",natural resource,square meter,biosphere3,123.03302616192573
578,"Transformation, to unspecified","('natural resource', 'land')",natural resource,square meter,biosphere3,11.732744801128552
579,"Transformation, to unspecified, natural (non-use)","('natural resource', 'land')",natural resource,square meter,biosphere3,1.397977275952025
580,"Transformation, to urban, discontinuously built","('natural resource', 'land')",natural resource,square meter,biosphere3,0.007206135724449661
581,"Transformation, to urban/industrial fallow (non-use)","('natural resource', 'land')",natural resource,square meter,biosphere3,0.0008745450883457308
582,"Transformation, to wetland, inland (non-use)","('natural resource', 'land')",natural resource,square meter,biosphere3,1.1108595184237682e-14
583,Triadimenol,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.3520098615315321e-07
584,Triasulfuron,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.4619322762037425e-09
585,Tribenuron,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.3841975220573325e-08
586,Tribenuron-methyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,3.7797020685198625e-09
587,Trichlorfon,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0001393666272724108
588,Triclopyr,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0002854005416318424
589,Trifloxystrobin,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0021612645431848274
590,Trifluralin,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.00032832221246342525
591,Trimethylamine,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.772613394446793e-06
592,Trinexapac-ethyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.1314979341814927e-06
593,"Ulexite, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,286.5614322251031
594,Uranium,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0014267490218593253
595,Uranium-238,"('air', 'urban air close to ground')",emission,kilo Becquerel,biosphere3,7.702754787644442
596,Vanadium,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.5578470298229808
597,"Vanadium, ion","('water', 'ground-')",emission,kilogram,biosphere3,0.02710451734396976
598,Vinclozolin,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.771926203193846e-08
599,"Volume occupied, final repository for low-active radioactive waste","('natural resource', 'in ground')",natural resource,cubic meter,biosphere3,0.015786616531121633
600,"Volume occupied, final repository for radioactive waste","('natural resource', 'in ground')",natural resource,cubic meter,biosphere3,0.0007969448116037971
601,"Volume occupied, reservoir","('natural resource', 'in water')",natural resource,cubic meter-year,biosphere3,25529.45706457036
602,"Volume occupied, underground deposit","('natural resource', 'in ground')",natural resource,cubic meter,biosphere3,0.06805910152940656
603,"Water, cooling, unspecified natural origin","('natural resource', 'in water')",natural resource,cubic meter,biosphere3,47162.697181334304
604,"Water, lake","('natural resource', 'in water')",natural resource,cubic meter,biosphere3,58.78577861173028
605,"Water, river","('natural resource', 'in water')",natural resource,cubic meter,biosphere3,2230.8067490225026
606,"Water, salt, ocean","('natural resource', 'in water')",natural resource,cubic meter,biosphere3,82.30473484717568
607,"Water, salt, sole","('natural resource', 'in water')",natural resource,cubic meter,biosphere3,54.59974583831318
608,"Water, turbine use, unspecified natural origin","('natural resource', 'in water')",natural resource,cubic meter,biosphere3,6396303.376514032
609,"Water, unspecified natural origin","('natural resource', 'in water')",natural resource,cubic meter,biosphere3,6496.396646160538
610,"Water, well, in ground","('natural resource', 'in water')",natural resource,cubic meter,biosphere3,2445.2157249001493
611,"Wood, hard, standing","('natural resource', 'biotic')",natural resource,cubic meter,biosphere3,9.840815975125608
612,"Wood, soft, standing","('natural resource', 'biotic')",natural resource,cubic meter,biosphere3,10.232143752309769
613,"Wood, unspecified, standing","('natural resource', 'biotic')",natural resource,cubic meter,biosphere3,0.004025353163712136
614,"Xenon, in air","('natural resource', 'in air')",natural resource,kilogram,biosphere3,4.8686075706664816e-12
615,Xylene,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.2150329158706994
616,Zinc,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.21020184631276198
617,"Zinc, ion","('water', 'ground-')",emission,kilogram,biosphere3,1.2253192690862136
618,2-Propanol,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,2.8685682471303707e-06
619,2-Propanol,"('air',)",emission,kilogram,biosphere3,18.475084049500737
620,4-Methyl-2-pentanone,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,6.269063946111975e-08
621,Acenaphthene,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,1.070494811895749e-05
622,Acenaphthene,"('air',)",emission,kilogram,biosphere3,6.558327762164628e-06
623,Acetaldehyde,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.3603851461018947
624,Acetaldehyde,"('air',)",emission,kilogram,biosphere3,0.5420083337089462
625,Acetic acid,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.3488759641106754
626,Acetic acid,"('air',)",emission,kilogram,biosphere3,0.8001030154241203
627,Acetone,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,2.813247577171818
628,Acetone,"('air',)",emission,kilogram,biosphere3,0.8587430911261036
629,Acetonitrile,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.010475412413820082
630,Acrolein,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.009018294065632971
631,Acrolein,"('air',)",emission,kilogram,biosphere3,0.10931603665524892
632,"Actinides, radioactive, unspecified","('air', 'non-urban air or from high stacks')",emission,kilo Becquerel,biosphere3,38.63233876097423
633,"Aerosols, radioactive, unspecified","('air', 'non-urban air or from high stacks')",emission,kilo Becquerel,biosphere3,0.19014476126740754
634,"Aldehydes, unspecified","('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.01853642151313213
635,"Aldehydes, unspecified","('air',)",emission,kilogram,biosphere3,0.0018089113101242035
636,Aluminium,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.039121320555435164
637,Aluminium,"('air', 'low population density, long-term')",emission,kilogram,biosphere3,1.032465811076894
638,Aluminium,"('air',)",emission,kilogram,biosphere3,135.95522829354022
639,Ammonia,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,4.6972887462532835
640,Ammonia,"('air', 'low population density, long-term')",emission,kilogram,biosphere3,0.007434156999163708
641,Ammonia,"('air',)",emission,kilogram,biosphere3,61.721406085781474
642,Antimony,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.22688894667520246
643,Antimony,"('air', 'low population density, long-term')",emission,kilogram,biosphere3,0.0002858181056150235
644,Antimony,"('air',)",emission,kilogram,biosphere3,1.2159725450728092
645,Antimony-124,"('air', 'non-urban air or from high stacks')",emission,kilo Becquerel,biosphere3,5.2755211687299734e-05
646,Antimony-125,"('air', 'non-urban air or from high stacks')",emission,kilo Becquerel,biosphere3,0.0009402961798939754
647,Argon-41,"('air', 'non-urban air or from high stacks')",emission,kilo Becquerel,biosphere3,90.56312528619212
648,Arsenic,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,1.9438069026564864
649,Arsenic,"('air', 'low population density, long-term')",emission,kilogram,biosphere3,0.00483108176846307
650,Arsenic,"('air',)",emission,kilogram,biosphere3,0.014046595693656228
651,Barium,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.13873469365213595
652,Barium,"('air', 'low population density, long-term')",emission,kilogram,biosphere3,0.022494767762765214
653,Barium,"('air',)",emission,kilogram,biosphere3,0.4702608501864393
654,Barium-140,"('air', 'non-urban air or from high stacks')",emission,kilo Becquerel,biosphere3,0.02900463039932595
655,Benzal chloride,"('air',)",emission,kilogram,biosphere3,2.9473447067145902e-08
656,Benzaldehyde,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.00210212403728797
657,Benzaldehyde,"('air',)",emission,kilogram,biosphere3,0.0844317747380615
658,Benzene,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,71.73666472648506
659,Benzene,"('air',)",emission,kilogram,biosphere3,2.1254152705340457
660,"Benzene, ethyl-","('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.22498429689586316
661,"Benzene, ethyl-","('air',)",emission,kilogram,biosphere3,0.06335098955031848
662,"Benzene, hexachloro-","('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,2.676344158809673e-13
663,"Benzene, hexachloro-","('air',)",emission,kilogram,biosphere3,0.0007961965447635493
664,Benzo(a)pyrene,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.5107347563469744
665,Benzo(a)pyrene,"('air',)",emission,kilogram,biosphere3,0.004804726215228396
666,Beryllium,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.0011777686949177649
667,Beryllium,"('air', 'low population density, long-term')",emission,kilogram,biosphere3,0.00014902902381744282
668,Beryllium,"('air',)",emission,kilogram,biosphere3,0.0004187047185761204
669,Boron,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,1.5931198574517949
670,Boron,"('air', 'low population density, long-term')",emission,kilogram,biosphere3,0.0014687061357986637
671,Boron,"('air',)",emission,kilogram,biosphere3,0.004461193536696036
672,Bromine,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.6533021321970898
673,Bromine,"('air', 'low population density, long-term')",emission,kilogram,biosphere3,0.002585255220916384
674,Bromine,"('air',)",emission,kilogram,biosphere3,0.005180494732791681
675,Butadiene,"('air',)",emission,kilogram,biosphere3,2.0246133265593976e-07
676,Butane,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,2.3912088952187736
677,Butane,"('air',)",emission,kilogram,biosphere3,0.009383580113127708
678,Cadmium,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.6178928016464134
679,Cadmium,"('air', 'low population density, long-term')",emission,kilogram,biosphere3,0.00428286403584298
680,Cadmium,"('air', 'lower stratosphere + upper troposphere')",emission,kilogram,biosphere3,3.0657659379238345e-08
681,Cadmium,"('air',)",emission,kilogram,biosphere3,0.014407006329325671
682,Calcium,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.10906010494512047
683,Calcium,"('air', 'low population density, long-term')",emission,kilogram,biosphere3,2.652750456515469
684,Calcium,"('air',)",emission,kilogram,biosphere3,0.17194328920151825
685,"Carbon dioxide, non-fossil","('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,2319.750870071414
686,"Carbon dioxide, non-fossil","('air',)",emission,kilogram,biosphere3,2695.146749459486
687,"Carbon dioxide, fossil","('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,408180.8503555384
688,"Carbon dioxide, fossil","('air', 'low population density, long-term')",emission,kilogram,biosphere3,102.17276652309789
689,"Carbon dioxide, fossil","('air', 'lower stratosphere + upper troposphere')",emission,kilogram,biosphere3,9.546254264661046
690,"Carbon dioxide, fossil","('air',)",emission,kilogram,biosphere3,434460.3287115139
691,Carbon disulfide,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,31.64061038432677
692,Carbon disulfide,"('air',)",emission,kilogram,biosphere3,5.466481693448086e-09
693,"Carbon monoxide, non-fossil","('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,19.148057447135553
694,"Carbon monoxide, non-fossil","('air',)",emission,kilogram,biosphere3,2.914956542121273
695,"Carbon monoxide, fossil","('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,1402.8206260227098
696,"Carbon monoxide, fossil","('air', 'low population density, long-term')",emission,kilogram,biosphere3,52.858150243803074
697,"Carbon monoxide, fossil","('air', 'lower stratosphere + upper troposphere')",emission,kilogram,biosphere3,0.006320320925031741
698,"Carbon monoxide, fossil","('air',)",emission,kilogram,biosphere3,5066.632126820837
699,Carbon-14,"('air', 'non-urban air or from high stacks')",emission,kilo Becquerel,biosphere3,3952.623171122786
700,Cerium-141,"('air', 'non-urban air or from high stacks')",emission,kilo Becquerel,biosphere3,0.007029754605024862
701,Cesium-134,"('air', 'non-urban air or from high stacks')",emission,kilo Becquerel,biosphere3,0.00033668004033453395
702,Cesium-137,"('air', 'non-urban air or from high stacks')",emission,kilo Becquerel,biosphere3,0.00612208909251956
703,Chlorine,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.00043777863213349534
704,Chlorine,"('air', 'low population density, long-term')",emission,kilogram,biosphere3,0.010824442839666958
705,Chlorine,"('air',)",emission,kilogram,biosphere3,0.07435702693243745
706,Chloroform,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.0018262001354008243
707,Chloroform,"('air',)",emission,kilogram,biosphere3,0.00022594226260609727
708,Chlorosulfonic acid,"('air',)",emission,kilogram,biosphere3,4.978090869983745e-08
709,Chromium,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,15.583904045610558
710,Chromium,"('air', 'low population density, long-term')",emission,kilogram,biosphere3,6.35967807691641e-05
711,Chromium,"('air', 'lower stratosphere + upper troposphere')",emission,kilogram,biosphere3,1.5326918214231482e-07
712,Chromium,"('air',)",emission,kilogram,biosphere3,0.9308415118897828
713,Chromium VI,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.3914415157750179
714,Chromium VI,"('air', 'low population density, long-term')",emission,kilogram,biosphere3,0.0005614907959768908
715,Chromium VI,"('air',)",emission,kilogram,biosphere3,0.00013691559594993113
716,Chromium-51,"('air', 'non-urban air or from high stacks')",emission,kilo Becquerel,biosphere3,0.0004504654320152486
717,Cobalt,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.35163320931933567
718,Cobalt,"('air', 'low population density, long-term')",emission,kilogram,biosphere3,0.002908661875242542
719,Cobalt,"('air',)",emission,kilogram,biosphere3,0.010234532948083063
720,Cobalt-58,"('air', 'non-urban air or from high stacks')",emission,kilo Becquerel,biosphere3,0.0009738691624477503
721,Cobalt-60,"('air', 'non-urban air or from high stacks')",emission,kilo Becquerel,biosphere3,0.007141289616594441
722,Copper,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,6.03917692815494
723,Copper,"('air', 'low population density, long-term')",emission,kilogram,biosphere3,0.04649129100899434
724,Copper,"('air', 'lower stratosphere + upper troposphere')",emission,kilogram,biosphere3,5.1563523195459905e-06
725,Copper,"('air',)",emission,kilogram,biosphere3,0.8802124005565307
726,Cumene,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.0001014764072225494
727,Cumene,"('air',)",emission,kilogram,biosphere3,2.232146762720068e-10
728,Cyanide,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.595015718121297
729,Cyanide,"('air',)",emission,kilogram,biosphere3,8.123856017201841e-06
730,Dinitrogen monoxide,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,7.559244699054266
731,Dinitrogen monoxide,"('air', 'low population density, long-term')",emission,kilogram,biosphere3,0.0026402553312771322
732,Dinitrogen monoxide,"('air',)",emission,kilogram,biosphere3,8.986150853215976
733,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,1.9211854802935054e-07
734,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('air', 'low population density, long-term')",emission,kilogram,biosphere3,3.617545349674971e-11
735,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('air',)",emission,kilogram,biosphere3,8.627563264023537e-07
736,Ethane,"('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,29.789588612367453
737,Ethane,"('air',)",emission,kilogram,biosphere3,0.002278800829271196
738,"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a","('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.0004155103380030138
739,"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a","('air',)",emission,kilogram,biosphere3,0.0006922245860534961
740,"Ethane, 1,1,1-trichloro-, HCFC-140","('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,0.00037287252847154154
741,"Ethane, 1,1,1-trichloro-, HCFC-140","('air',)",emission,kilogram,biosphere3,4.600955551944477e-09
742,"Ethane, 1,1,1-trifluoro-, HFC-143a","('air', 'non-urban air or from high stacks')",emission,kilogram,biosphere3,1.87436042128164e-29
743,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113","('air', 'low population density, long-term')",emission,kilogram,biosphere3,7.688384412656327e-05
744,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113","('air',)",emission,kilogram,biosphere3,3.9638581421669655e-05
