,name,categories,type,unit,database,"wind turbine construction,
2MW, onshore | wind turbine,
2MW, onshore | GLO |
ecoinvent3.8 cut-off"
64,Boron trifluoride,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,7.469015162630306e-09
65,Bromine,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.07727114071754197
66,Bromoxynil,"('soil', 'agricultural')",emission,kilogram,biosphere3,5.770153268370032e-06
67,Bromuconazole,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.7858573984079392e-09
68,Buprofezin,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.962199047840912e-09
69,Butadiene,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,9.300016268741204e-07
70,Butane,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.6719888475524679
71,Butanol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.9425872143283538e-05
72,Butene,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.012428214206237014
73,Cadmium,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0023633030913937023
74,"Cadmium, ion","('water', 'ground-')",emission,kilogram,biosphere3,0.011831339681742504
75,"Calcite, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,216419.1971812047
76,Calcium,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.0356012173136437
77,"Calcium, ion","('water', 'ground-')",emission,kilogram,biosphere3,126.76835201674432
78,Captan,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.4180529456285982e-08
79,Carbaryl,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.397610085121827e-06
80,Carbendazim,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.01713665589388167
81,Carbetamide,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.0369493580142338e-05
82,Carbofuran,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0003468125164344553
83,Carbon,"('soil', 'agricultural')",emission,kilogram,biosphere3,35.38899625783495
84,"Carbon dioxide, fossil","('air', 'urban air close to ground')",emission,kilogram,biosphere3,226159.51485401488
85,"Carbon dioxide, in air","('natural resource', 'in air')",natural resource,kilogram,biosphere3,20755.348819907307
86,"Carbon dioxide, non-fossil","('air', 'urban air close to ground')",emission,kilogram,biosphere3,21609.681082878727
87,Carbon disulfide,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.543079354750182e-05
88,"Carbon monoxide, fossil","('air', 'urban air close to ground')",emission,kilogram,biosphere3,375.3300821084078
89,"Carbon monoxide, non-fossil","('air', 'urban air close to ground')",emission,kilogram,biosphere3,65.35388113655046
90,"Carbon, organic, in soil or biomass stock","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,118.15185772695222
91,Chloramine,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.4938663353654284e-05
92,Chloridazon,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.5937823829583415e-07
93,Chloride,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.13112366001452552
94,Chlorimuron-ethyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0003786257382506051
95,Chlorine,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.1808374795476997
96,Chlormequat,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.4949929138246914e-05
97,Chloroacetic acid,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0002719275823901368
98,Chloroform,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.004243096954057332
99,"Chlorosilane, trimethyl-","('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.00021335445813384932
100,Chlorosulfonic acid,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.8025031291382482e-06
101,Chlorothalonil,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0023934876306359954
102,Chlorpyrifos,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0003353698552497086
103,Chlorsulfuron,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.4619322762037425e-09
104,Choline chloride,"('soil', 'agricultural')",emission,kilogram,biosphere3,3.3940608683645566e-07
105,Chromium,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.04364988457361254
106,Chromium VI,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0017126140868462736
107,"Chromium, ion","('water', 'ground-')",emission,kilogram,biosphere3,0.0017696857046220226
108,"Chrysotile, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,2.11406359187939
109,Cinidon-ethyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.937336770132592e-08
110,"Clay, bentonite, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,2943.2360927097866
111,"Clay, unspecified, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,36017.89778114072
112,Clethodim,"('soil', 'agricultural')",emission,kilogram,biosphere3,3.3180351807930435e-06
113,Clodinafop-propargyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,3.757021578161232e-08
114,Clomazone,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.062349668287375e-06
115,Clopyralid,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.912773674915177e-08
116,Cloquintocet-mexyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,8.800566827026842e-09
117,Cloransulam-methyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,9.463814322921406e-07
118,"Coal, brown, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,45521.81412754054
119,"Coal, hard, unspecified, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,317457.99599866546
120,Cobalt,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.011262556147242992
121,"COD, Chemical Oxygen Demand","('water', 'ground-')",emission,kilogram,biosphere3,3.8800696776837147
122,"Colemanite, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,4.793063874562421
123,Copper,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.07998490502299765
124,"Copper, ion","('water', 'ground-')",emission,kilogram,biosphere3,0.2888839382365444
125,Cumene,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,5.549648991043797
126,Cyanide,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.09063736850597186
127,Cyanoacetic acid,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.4761478821026957e-06
128,Cyclohexane,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,3.3826066042657644e-11
129,Cymoxanil,"('soil', 'agricultural')",emission,kilogram,biosphere3,3.965886142261337e-06
130,Cypermethrin,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.00021866548604091527
131,Cyproconazole,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.001978682296048375
132,Cyprodinil,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.691396277712024e-06
133,Deltamethrin,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.3978926063549188e-08
134,Desmedipham,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.0000792289030883e-07
135,"Diatomite, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,2.3740704460920373e-05
136,Diazinon,"('soil', 'agricultural')",emission,kilogram,biosphere3,3.257676689735378e-05
137,Dicamba,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.707698702773918e-06
138,Dichlorprop-P,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0021999356967871164
139,Diclofop,"('soil', 'agricultural')",emission,kilogram,biosphere3,5.382791908850159e-08
140,Diclofop-methyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,6.091167049967424e-08
141,Diethyl ether,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,7.97621347227707e-11
142,Diethylamine,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,8.047063562897236e-06
143,Diethylene glycol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,6.758264037054655e-11
144,Difenoconazole,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.6155356138719508e-05
145,Diflubenzuron,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0006482572863084562
146,Diflufenican,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.1260934391931455e-06
147,Diflufenzopyr-sodium,"('soil', 'agricultural')",emission,kilogram,biosphere3,5.6984179951878596e-08
148,Dimethachlor,"('soil', 'agricultural')",emission,kilogram,biosphere3,5.205788830833583e-07
149,Dimethenamid,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.5053868359012266e-06
150,Dimethoate,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.5044724419008656e-05
151,Dimethomorph,"('soil', 'agricultural')",emission,kilogram,biosphere3,8.498513553708869e-07
152,Dimethyl malonate,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.8511279228902852e-06
153,Dimethylamine,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,6.783594451866743e-07
154,Dinitrogen monoxide,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,17.305047088621073
155,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('air', 'urban air close to ground')",emission,kilogram,biosphere3,5.013008454153147e-07
156,Dipropylamine,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,4.2727179421976965e-06
157,Diquat,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.00040588056848258865
158,Dissolved solids,"('water', 'ground-')",emission,kilogram,biosphere3,34.1572907208316
159,Dithianon,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.423280647173912e-07
160,Diuron,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.002056982359675587
161,"DOC, Dissolved Organic Carbon","('water', 'ground-')",emission,kilogram,biosphere3,4.181149716397523
162,"Dolomite, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,4691.444633369226
163,Endosulfan,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0001952446558063972
164,Endothall,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.7682060025581583e-07
165,Epoxiconazole,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0007219183018662984
166,EPTC,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.0003521302426944203
167,Esfenvalerate,"('soil', 'agricultural')",emission,kilogram,biosphere3,4.83750373115442e-06
168,Ethalfluralin,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.7355644861945325e-07
169,Ethane,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,1.0641341158305633
170,"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a","('air', 'urban air close to ground')",emission,kilogram,biosphere3,5.194818172001343e-05
171,"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113","('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.00019306028464310715
172,"Ethane, 1,1-difluoro-, HFC-152a","('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.011471857140420818
173,"Ethane, 1,2-dichloro-","('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.004894543658816822
174,"Ethane, hexafluoro-, HFC-116","('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.01331093568414971
175,Ethanol,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.11058336876766642
176,Ethene,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.0978197678129717
177,"Ethene, chloro-","('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0022484040421842082
178,"Ethene, tetrachloro-","('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.0010255571489749735
179,Ethephon,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.1564065404425162e-05
180,Ethofumesate,"('soil', 'agricultural')",emission,kilogram,biosphere3,6.837017248211548e-07
181,Ethoprop,"('soil', 'agricultural')",emission,kilogram,biosphere3,8.158512329948122e-05
182,Ethyl acetate,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,2.25473034821885
183,Ethyl cellulose,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.00456511141099235
184,Ethylamine,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,6.009240840930051e-06
185,Ethylene diamine,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,6.007408430566448e-06
186,Ethylene oxide,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.014579540574669016
187,Ethyne,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.29275563876501665
188,"Feldspar, in ground","('natural resource', 'in ground')",natural resource,kilogram,biosphere3,0.0006468898638221691
189,Fenbuconazole,"('soil', 'agricultural')",emission,kilogram,biosphere3,6.333448882410881e-08
190,Fenoxaprop,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.887107560215599e-06
191,Fenoxaprop ethyl ester,"('soil', 'agricultural')",emission,kilogram,biosphere3,4.485641651394374e-09
192,Fenoxaprop-P ethyl ester,"('soil', 'agricultural')",emission,kilogram,biosphere3,3.3532181772634285e-08
193,Fenpiclonil,"('soil', 'agricultural')",emission,kilogram,biosphere3,5.559087473868752e-05
194,Fenpropidin,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.3249688443356824e-06
195,Fenpropimorph,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.3338426693287196e-06
196,Fentin hydroxide,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.4117105326342936e-05
197,Fipronil,"('soil', 'agricultural')",emission,kilogram,biosphere3,0.00290455191507296
198,Florasulam,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.6750690888958366e-10
199,Fluazifop-P-butyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,7.817691801533579e-07
200,Flucarbazone sodium salt,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.538688131132597e-10
201,Fludioxonil,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.078960799770447e-07
202,Flufenacet,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.8059548884935765e-08
203,Flumetsulam,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.0254900541264775e-07
204,Flumioxazin,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.9092127437281335e-05
205,Fluorine,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.04470310740136956
206,Fluosilicic acid,"('air', 'urban air close to ground')",emission,kilogram,biosphere3,0.036026756002036545
207,Flupyrsulfuron-methyl,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.3887897415903974e-10
208,Fluquinconazole,"('soil', 'agricultural')",emission,kilogram,biosphere3,5.5074396953781056e-08
209,Fluroxypyr,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.766907963171752e-07
210,Flurtamone,"('soil', 'agricultural')",emission,kilogram,biosphere3,6.591971133206093e-07
211,Flusilazole,"('soil', 'agricultural')",emission,kilogram,biosphere3,2.2118377633656813e-07
212,Flutolanil,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.6052747755098656e-05
213,Fomesafen,"('soil', 'agricultural')",emission,kilogram,biosphere3,7.309429734000688e-06
214,Foramsulfuron,"('soil', 'agricultural')",emission,kilogram,biosphere3,1.0684682092829152e-08
